+74 34 2 9 342035038 ; 76776942-K ; 1981-01-11 04:09 ; -70.28,-161.71 ; MacBook ; 2096.4€
194-373-047 ; 76776942-K ; DeCeMBER 3,  2059  10:01  Am ; 0691836.0000S0180824.0000W ; iPad ; 1475.6€
+74 34 2 9 342035038 ; 16652611-J ; 11:44:30   22/04/1964 ; 54°   0'  0.0000"N   ,   126°  16'  12.0000" W ; iMac ; 1848€
+46 83 1 7909 754 ; 99258096-D ; JanUArY 1, 1916  6:46    Am ; +73.86  ,   -169.12 ; iMac ; 1920.8€
+34 814838821 ; 71914910-M ; 2026-02-25   18:38 ; 0095436.0000S1392060.0000W ; iMac ; 1761€
+74 34 2 9 342035038 ; 03289271-H ; MaY   24,  2057   9:44  pm ; +41.4 ,   152.15 ; iPhone ; 2200.7$
814-838-821 ; 16652611-J ; SePtEMBeR   5,   1984   1:17  Pm ; 0444724.0000S1110524.0000E ; iPhone ; 1010.4€
+4246 02 569 047 ; 31351294-V ; marCh   27, 2098  1:47   aM ; 89°  29'   24.0000"   N  ,13°22'  12.0000"  E ; Apple Watch ; 1367.3$
+979 5 1564 3 741 ; 23839279-D ; 04:40:05   14/03/1920 ; 6°   2'   60.0000"  S ,109° 34'12.0000"  E ; Airpods ; 1716€
+34 020232975 ; 61333293-K ; MAy 19,   1987   11:43  am ; -32.53,   161.67 ; iPad ; 793$
194-373-047 ; 31351294-V ; oCtoBER   4,   2091   2:41  am ; 0751236.0000N0410712.0000E ; iMac ; 650€
+34 068701342 ; 59573254-B ; 1955-08-21   14:19 ; 44°17'   60.0000"S  ,  75°55' 12.0000"  W ; Apple Watch ; 2035.8$
020-232-975 ; 23839279-D ; 21:08:15   16/09/2063 ; 1° 42' 0.0000"S  ,   54° 45'   0.0000"W ; Airpods ; 1307.3$
+979 5 1564 3 741 ; Z4573721-S ; DeCeMber 21,   1927 10:19  PM ; 73°  47' 60.0000"S ,   154° 37' 48.0000"E ; MacBook ; 1361€
814-838-821 ; 85496169-V ; 1975-09-13  00:44 ; +72.55  , -66.29 ; Apple Watch ; 1189$
+34 068701342 ; 44301477-G ; 2072-02-15  03:26 ; +58.16   , +141.67 ; MacBook ; 1309€
194-373-047 ; 31351294-V ; 13:29:37   04/09/1943 ; 0131836.0000N0783224.0000W ; iPad ; 1364.4$
